id,tweet,subtask_a
72353,beautiful person teach value kid teach royalty head stay real redheart,NOT
39051,bring antifa criminal son campaign,NOT
54546,I watch watch watch september story come stand shoulder shoulder I proud issue people play damn game stand moment protest saturday,NOT
50759,tear water feeling,NOT
75992,trump address gun control represent nra I let,NOT
45068,drink koolaid bloated,OFF
17259,holder need prosecute,NOT
95225,player woman woman color,NOT
84667,institution let tweet behave window licker,OFF
14574,babysitte kid old think kid mad mad know know,NOT
93119,wtc threat,OFF
30115,easily digestible content need nuance understand story picture antifa base level emotional response content require order profitable,NOT
69281,try look plain old democrat liberal conversation,NOT
15322,great news old moonbeam coma facewithtearsofjoy,NOT
75089,omg extra ily,NOT
21379,trump narcissistic sociopath,OFF
43133,unfortunately america system like racist liberal believe exam racist minority group,NOT
52102,I know alive wonder career railroad odd love especially day,NOT
59537,guy present bet lol,NOT
44209,baby,NOT
96664,persuasive fam,NOT
12559,new vote vote liberal november,NOT
61914,burt cool dude,NOT
32317,follow I I follow,NOT
94767,thank u I finally point I okay use heat I happy,NOT
64835,kind like trump time huh,NOT
41353,antifa white house arrest citizen arrest explain I,NOT
52252,fuck em,OFF
91001,good big loser,OFF
18495,let dm I zipcode I check sure enjoy good tv offer asap nevinbruce,NOT
76680,record I know doug jones personally sen bc credible choice election,NOT
88013,president feeling totally opposite cnn feeling cnn liberal,NOT
66349,literally narrative par nazis punch antifa punch coin noooooooo group want exterminate deport poc jews want prevent comparison benefit fash,OFF
80561,dumb argument gun control dumb common,OFF
16052,idk,NOT
49996,need chill abysmal half rizzo abysmal half baseball happen thing need work yes power number drop yes bounce anytime,NOT
77086,dude old lmao ps pack,NOT
10972,trump supporter wear hat abuse meet animal left attack antifa branch communist socialist nazis democrat party,NOT
69160,laugh I relievedface,NOT
40252,pizza panera,NOT
39907,kill I antifa hand,OFF
16164,shanahan spoon healthy game obviously excuse maybe doom sort thing game maybe pretty good,NOT
52824,good girl,NOT
77294,ugly black hearted troll,OFF
13420,clearly pokemon master I rare candy legacy moveset pokemon depend like collection piece value game,NOT
16940,believe hype,OFF
83816,follow new maga follow,NOT
99156,report fan bad I type doom lose realise soon,NOT
11255,liberal vote claim comment context man integrity,NOT
28841,save maga,OFF
79060,bring honor decency yoyo picture rich,NOT
71682,good riddance,NOT
17577,goddess,NOT
27503,omg xd bad good case good cuase I laught ask dead hurt poor thing rest standin like nope suffering dead yeah pretty dead,NOT
59998,probably imagine sjw snowflake feel safe work conservative lurk shadow conservative ruskie century,OFF
81119,I light election conservative split come tory partyvery soon,NOT
28812,I cryingface damn hater delete ig reason,OFF
84131,think canadian liberal actually blame trudeau cost standard push,NOT
23179,warn josh gordon month daily basis I sure shocked I transpire today,NOT
28601,liberal read read,NOT
64776,sjshsj s job bitch,OFF
95712,discuss haiti,NOT
69972,collusion dumocrat,OFF
37115,skilled facewithtearsofjoy facewithtearsofjoy,NOT
80696,amazing yellowheart yellowheart yellowheart,NOT
68163,fist pump troop,NOT
96789,reason farakan illegal value black muslim reason detest I believe illegal value simply result bad character like supporter,OFF
68629,let leftist democrats riot street antifa counterpart,OFF
66109,I think canada strict gun control help I understand happen,NOT
19419,want follow people like conservative sicken biased twitter management,NOT
32942,life tho expressionlessface,NOT
74285,important midterm word want people color believe support know false word spread need know,NOT
77319,antifa death threat professor ford threatening violence candidate lose spanky impeach,OFF
30517,listen antifa pal,NOT
69077,case antifa little bat good kind thing,NOT
67758,title scare I little bit,NOT
35944,hiv malaria middle africa good bloody luck,NOT
48223,interaction tory volunteer fcp volunteer I witness today demand float parade,NOT
47168,thing,NOT
53947,I add video playlist combat mon frere vs ismael et maga assassin vs david le boxer yfc,NOT
49504,law change allegation day guilty prove innocent liberal mentally ill,OFF
66291,straight different thank joe biden I wonder outcome antifa hill,NOT
31229,game suck donkey ball,OFF
75850,yo real gorgeous,NOT
88546,absolutely nail coffin hilliary,OFF
29241,I hope twitter I tell amazing redheart grinningfacewithsmilingeye,NOT
19842,gun control try prove failure people vote democrat refuse admit reality gun control work,NOT
69232,overwhelming liberal populated state policy rest america clue california big population mean share value clue hillary,NOT
36471,partly fund antifa,NOT
32897,dumbass,OFF
62072,want gun control wonder heck want freedom away selective freedom,OFF
95444,point time I think pre trump I lol,OFF
51172,conservatives poll vote red,NOT
62481,donnie jr family owe country apology criminal activity white house line pocket father unfit mockery republic shame family justice prevail,OFF
71895,harvard harris poll conduct year find percent black americans like legal immigrant bring year,NOT
78366,doubt officially national socialist american workers party ppl like act der sturmer einsatzgruppen waffen ss detachment,NOT
39021,oh carman fricke cute,OFF
68840,chelsea crazy mother,OFF
96837,time send lyin lynton australia,NOT
51815,manifesto promise I vote think brexit brit allow vote referendum gerrymander,NOT
62023,metoo movement extension antifa complete joke movement selective joe biden court fonde girl camera,NOT
10253,awesome thank humanity hope,NOT
21367,goober,NOT
33797,uninformed,NOT
11160,I forget foster child,NOT
32916,brainless want believe majority liberal like leader corrupt real bad loser,OFF
47427,fucking way,NOT
87052,supposedly smart people think moment audience people vote trump scared shitless hear brass speak way,NOT
29556,I surprised sick woman type accusation kind find far left liberal pray weak member gop like collins flake pull support,NOT
18547,california gun control direct result white people scared black panther use right bear arm nra problem gun control,OFF
32688,oct brazil citizen overwhelming vote government implement strict gun control factor brazilian government violate referendum everyday brazilian murder w zero effective method self defense,NOT
57850,claim sin deceive truth confess sin faithful forgive sin purify unrighteousness john,NOT
82607,million permit hold people carry legally conceal firearm day hurt want strong gun control idiot facewithraisedeyebrow wonderful medium hype incident fit agenda,OFF
82339,yes hurt self gun control freak,OFF
98077,like guy hysterical tweet,NOT
62815,dedication wonder good,NOT
34510,bullshit regulation good conservative stripe land abyss,OFF
53501,owner culo,OFF
69928,scar life lol,OFF
31853,fucking,OFF
13872,confirm man left wing activist liar story change hard evidence innocent prove guilty,OFF
30791,reagan sign gun control bill governor,NOT
80385,awe hogwash need overstate obvious,NOT
54292,year judge extensive background peep link trump boom conservative rape liberal,NOT
28985,I assume I answer brainless stooge ocasio cortez t policy plan america future vote republican surrender america moron,OFF
52375,man seriously need mental health treatment firearm confiscate long danger I wait gun control advocate add list school shooting buy caliber handgun,NOT
74004,leftist vile,OFF
70838,drunk crazy man,OFF
64577,honor include fine patriot thank rena grinningface twoheart dean,NOT
44448,shut ontario conservative stand help loose province way completely tune canadian mr harper oops I mean mr scheer common mistake alike,NOT
53928,I sexually assault fellow law student I report I think I believe happen I realize I victim I feel I colossal mistake,NOT
45337,liberal,NOT
85707,terrorist attack report msm,NOT
63292,know imma,NOT
15991,money u smart,OFF
25009,yes gilmer I laugh,NOT
90990,u r lifeline redheart foldedhand facewithtearsofjoy,NOT
65785,think h ford level headed guy guess note ford climate change summer winter spring happen year,NOT
38837,yeah need bullshit protestor antifa lol time epic beatdown winkingface,OFF
94182,unfortunately right real assault weapon,NOT
77653,real rocky fire fire fire oh god,NOT
27238,thank possible amazing beautiful bear I member oliver army I appreciate life,NOT
12892,yeah sort need sort small sip wine unusual emily guess jj profile,NOT
16885,way haiti liberal shit hole large city shit hole work,OFF
46581,yes,NOT
41517,try pro gun control,NOT
22717,kill hunting rifle time vantage close hour police enter room actual shooting min gun control people kill need smart,NOT
88539,aha yes I individual sense need belong win team constant conditioning self devaluation I strong sense q left hillary antifa regardless think win,NOT
65786,oh I know I know talk I tweet reple lol,NOT
54437,demonstration gun free zone work bring liberal likely support strict gun control,NOT
19514,pussy grab wear glove handle food,OFF
57943,plan environment conservative able understand able live planet money,NOT
66328,happen tell white liberal congratulate woke money mouth simple fact life break brain,NOT
34317,antifa beat facsist try change mind know lost cause try change fascist mind scare hiding demoralize stop spread hateful ideology force view,OFF
44837,soros root anti american money way islam antifa illegal,NOT
36289,cut cloth conservative misogyny bigotry display responsible trump,OFF
80570,truly idiotic thing I,OFF
43185,brigitte gabriel experience life nightmare sound alarm americans buy book pay attention warn america,NOT
86477,work want control population australian gun control effect homicide,OFF
67080,poor baby,NOT
96270,antifa democrats dixiecrat kkk,NOT
44015,liberal ruin,OFF
48060,forget tell primarily black liberal audience conservative want chain,NOT
31065,sad exploit reputation destroy I read antifa,NOT
11411,happen let liberal hold gun good place start gun control ban liberal gun,OFF
10133,look happy,OFF
22128,trump propose racial profiling tactic start think,NOT
36518,introduce sweet sweet baby king sooo nice I try sit sofa attack I,NOT
59559,tho input tweet good tmart thumbsup lightskintone,NOT
99618,exactly record basically president law note fine rudy issue,NOT
53309,new dem emperor clothe taxpayer fund unprecedented armed protection gun control sen kamala harris,NOT
29497,fat,OFF
84329,plenty evidence guilty hill accuse conf hearing guilty innocence bench time diff journalist white supremacy alt right antifa pick,NOT
50315,understand capablitie despite proof economy hypothesis lie liberal entire life believe tell liberal medium bill clinton look good trump,NOT
97959,oath subpoena testify lifetime appointment stake right time amp allow orrin hatch mind lie allow question kind question invite lawsuit,NOT
66524,good,NOT
97300,joke gem alright racist phony right racist phony think follow I second account block I I speak truth I care follower like big party I care discriminate,OFF
40855,I little concerned q follower slowly sort right wing sjw antifa thingie excuse I horrible english native languase schooling I sorry suck grinningfacewithsweat,NOT
84100,yep antifa literally hitler,NOT
21270,wow hot smilingfacewithhearteye smilingfacewithhearteyes smilingfacewithhearteyes smilingfacewithhearteyes kissingface kissingface kissingface kissingface kissingface,NOT
41818,deserving woman happy,NOT
12435,I notice lot conservative thoroughly disingenuous engage twitter,NOT
14808,forget moment eu citizen right afford eu citizen believe shit head,OFF
82579,modelling plenty woman shit ton money look good,NOT
84523,watch horizon scientist discover dna mix human think trump elect proof,NOT
61917,I hope way watch tv ted spank liberal enjoyable,NOT
33322,look work history list board lead age service aust lasa come medicare local alliance hell,OFF
79251,look mirror,NOT
42540,I sure purpleheart,NOT
13881,send party promise help family maybe remind duty,NOT
70402,family separate border fact picture child cage liberal use evil trump actually obama president,NOT
83462,antifa people,NOT
87206,people vote june people reject craven worship stand majority contemptuously defy people amp ge manifesto amp support soro undermine democracy instead,NOT
87300,cause bitch play loudlycryingface loudlycryingface loudlycryingface loudlycryingface god I gift,OFF
54125,free bird return muslim homeland,NOT
75848,mom speak phone compose text brother angry yell phone tell type like brother able tell yell personfacepalme lightskintone femalesign,NOT
14948,melt snow flake,NOT
66798,victim remain liberal turn kavanaugh hearing circus minute start,NOT
80497,come man threaten try kick turmp ass set ball,OFF
38561,shocked hear liberal want centralize power federal level,NOT
55203,good good smilingfacewithhearteyes smilingfacewithhearteye,NOT
31776,liberal win lie,NOT
60916,fast furious holder lol,NOT
97277,scared ugly man,OFF
63113,progressive I stand watch dislike right leave evenly know right start check youtube insightful redheart,NOT
59721,supreme court worthy,NOT
53839,god I hope,NOT
15616,yes,NOT
95200,bitch,OFF
77769,amp terroism amp starvation amp flint amp poverty amp climate change amp global warming amp sex trafficking amp bullying amp body shame amp police brutality amp feminism amp gun control amp marche amp protest,OFF
65790,I prove causation conservative cda surely love idea 𝙿𝚎𝚝𝚊𝚕𝚜 bash pm help think egg continue bashing boost vainly,NOT
48548,republican man picture man age law maker old sorry young republican like young conservative bear year age,NOT
83751,liberal meme sense humor knowledge meme e philosophy,NOT
62541,stunning,NOT
62107,yea bitch right smack,OFF
18474,focus proud boy I know real journalist kelly focus violence want story focus journalist leftist activist constantly ignore antifa attack people,NOT
33096,hahaha big thigh,OFF
22879,educate liberal,NOT
81470,bill clinton whitewater imperative pattern revolt behavior clear piece painful piece,OFF
20322,people low iq gdp growth mean literally way translate high income white famile individual billion company government job create labour pay live wage lmao,OFF
26694,wonna pay pick energy people scream shout like hearing,NOT
60130,bro watch hold backwood interview like shit irritate lmao nigga mad suspicious,OFF
54559,bitch build like beat ass want,OFF
34961,trash,NOT
14285,pathetic man,OFF
25012,new psychology thinker think religion aggressive thought deeply think hinduism grinningface grinningface grinningface grinningface,NOT
19121,ve play saint marie instead london dock saint ass I okhand,NOT
61272,thank goodness mn passive aggressive love,NOT
25360,prison break law liberal logic,NOT
56949,angel love,NOT
34893,ask arrest liberal butthurt month impeachable offense,NOT
90958,tolerant left,NOT
42133,talk hateful conservative,OFF
18834,s correct,OFF
12741,I single case antifa actually murder far right murder charlottesville personshrugge hypocrisy work way,NOT
42528,bobby fit s exactly I sure,NOT
29300,white people thank jesus republicans amp ex crackhead america hate liberal christian ex dem thank jesus amp emmys watcher thank jesus daily country amp ability turn,NOT
14850,skip realize professional tweeter kind shit sport caster td reception skip year,NOT
38043,leftist wrong liberal college ppl student come unmask corrupt woman determined destroy good judge want liberal court,OFF
40340,feel touch time smilingfacewithhearteyes smilingfacewithhearteyes smilingfacewithhearteye smilingfacewithhearteye smilingfacewithhearteyes smilingfacewithhearteye,NOT
76709,great mark great levin candace great owen team unbeatable send liberal frenzy block liberal voter head explode sadly alyssa milano wet pant great team,OFF
22728,tdavis tour application technique speed,OFF
14037,grossly misinterpreting people party condemn action look far bill davis brian mulroney conservative think horrible decision,NOT
11640,I propose scare tactic I mean I trump easily pull good maga republicans easily steal vote gop dem independent bring fresh breath rotten politic think,OFF
47009,liberal support liberal spend million liberal elect office,OFF
90912,notice avoid tweet indexpointingup indexpointingup think refer facewithtearsofjoy facewithtearsofjoy I comrade I stalk loveyougesture loveyougesture,NOT
97936,weirdly vicious bitter extrapolate access decent healthcare liberal think criminal free reveal pretty brutalist impenetrable mind,OFF
12531,fuck game watch,OFF
61448,grow loudlycryingface loudlycryingface loudlycryingface,NOT
23853,amp threat,NOT
58454,kavanaugh need term guilty people need term let I clue worried terrible impression believable try manage concern,NOT
63262,perpetuate colonialism talk puerto rican panel difficult,NOT
13136,anonymous message,NOT
74670,antifa place society,NOT
45111,vote home west texas stoke inspiring,NOT
72024,liberal trashy,OFF
11405,grape,NOT
90605,hello somebody need hyukjae danger watch fancam,NOT
28728,intelligence,NOT
98547,yes I I tapper basket come stupid answer finally I think big fan policy stupid,OFF
98382,fuck head,OFF
80430,sure think,NOT
68007,guy guy look like sheila dundee,NOT
88809,problem fast furious proof atf look influence gun control preposterous government fake sandy hook facilitate drug war somewhat similar,NOT
71577,need know inside,OFF
15863,oh dear I sorry migraine I send prayer redheart smilingfacewithsmilingeye rise,NOT
11918,sister far kind sweetest person alive use grandma pass woman saint song write mom saint write child course,NOT
17391,liberal mentally unstable,OFF
34443,authorize search warrant mr jean home racist drug test premediated murder slander victim,OFF
87904,line putz know conservative think,NOT
19732,dude r u troll ash rock z beamingfacewithsmilingeyes guy hurry bjp govt state,NOT
52972,pray tho I sure heart break event,NOT
20800,active threat shoot drive need gun control idea threat exist hypothetical I excuse carry big scary gun,NOT
39866,life,NOT
18348,container hurricane donation find rot puerto rico parking lot,NOT
61093,follow heartexclamation look forward follow thank amp wonderful day foldedhand twoheart,NOT
75384,suicide rate america similar country strict gun use jump cliff bridge common method,NOT
68664,join antifa,NOT
90705,apparently durbin amnesia,NOT
83290,canada regulate firearm quarter century law probably contribute canada handgun circulation,NOT
22185,I hear wave,OFF
13257,anita hill versus clarence thomas I hope confirmation process end result smilingfacewithsmilingeyes thumbsup mediumlightskintone clappinghand mediumlightskintone foldedhand mediumlightskintone victoryhand mediumlightskintone policeofficer lightskintone woman lightskintone airplane,NOT
90575,boi,NOT
37630,time teacher career I parent tell I pray I I consider win clappinghand lightskintone clappinghand lightskintone,NOT
51377,welcome,NOT
51635,funny watch liberal sudden transparent warner problem leak truth issue people big trouble warner likely,NOT
14407,brown like,NOT
87366,lady I smile know I mean facewithtongue,NOT
77089,fuck liberal forever,OFF
27974,scalp custer,NOT
79972,prove gun control law intend disarm law abide citizen subvert criminal care gun law,OFF
38981,abusive include woman people country horrible stress worry easy I agree gabby,NOT
30085,mxm nigger think fuck,OFF
95773,fake vote want sympathy,OFF
94397,ask antifa like amp respect,NOT
51053,different woman american jobless man nigerian man bomb,OFF
21635,ban ammunition gun legal instate gun control watch firearm,NOT
80767,trump conservative refuse trade business,NOT
63772,sign book cute,NOT
14131,russian agent disgrace hey old creep die prison trump sell america russians time time year crime scumbag,OFF
62738,wow salinsky tactic,NOT
33709,insanely ridiculous bullshit,OFF
98754,nhs way populated country conservative privertise nhs buy,NOT
53995,surprised pig work neonazi unmask antifa protestor local coverage shit journos like cover rely investigative coverage,OFF
52965,gun control,NOT
19654,I gun control practice reading comprehension,NOT
46633,I begin believe liberal sociopath people believe rule law evidence crime far,NOT
82171,americans lazy vote non voter skew liberal liberal vote throw vote away party loser question,OFF
54467,I wait maga tat chest picture mueller,NOT
50936,I sure gate community private security firm bull connor funny liberal love privatization police,OFF
97580,wonder child molest,OFF
18747,amazing I admire able raise ugliness amp hatred grace,NOT
54991,oh england view gun control stop matter,OFF
55051,antifa party amp sudden expect believe care nope,OFF
59090,antifa catch guard confront person,NOT
23159,ouch,OFF
58548,wonder apologize diamond silk minstrel fire face,OFF
41277,awesome kavanaugh shake gun control dad hand sorry kid kill gun future judge fault happen omg white people city silly,OFF
51592,john podesta spirit cooking pedo photo valerie jarrett compromise situation,OFF
38752,somebody terrified happen public know,NOT
56068,I love way piss liberal,OFF
29892,I bet sloane pretty awesome,NOT
88585,auto correct gggrrr crazy witch,OFF
14234,I turn speech sound I like liberal nasty party personal attack individual,OFF
25552,crap like use weapon miss maybe,NOT
56476,think talk referee like expect support treat specially,NOT
97329,negative democrat refuse disappear,OFF
85409,elect mp explain promote idea eu reject month appear onward like blind lead blind,OFF
83153,paris climate agreement m voter want obama commit agreement pay world country broke help place like cal m illegal,NOT
70465,going tip new asshole,NOT
14118,effect radiation kill I hope mention lady gaga witch know immortal witch supreme,OFF
79969,mike country live country constitutional republic democracy,NOT
63792,election season trump dick magnificent dick tremendous leftist prove russian puppet trump whip dick fit senility conservative vote trump victory,OFF
71927,problem gun control,NOT
82293,interesting demoncrap inventive create cartoon originally republicans liberal koolaide drinker liberal scum earth prove daily lie,OFF
48263,believe president fake d,NOT
80449,old article relevant soon,NOT
61995,need joe p,NOT
32122,facewithtearsofjoy facewithtearsofjoy,NOT
65470,I think clue leadership liberal temperament year old child tell intellectual brilliance goat stop tweet tds look fool,NOT
86166,gun control leftist I child responsible parent lock door let involve neighbor dv shir grab leavem s lucky find,NOT
40450,center tonight declass today,NOT
61533,ajsjjsjdkkdjdk I want literally tell I die I obey,OFF
31469,sorry hear loss friend,NOT
53663,characterization famous people funny black cue race baiter,NOT
40857,dead necrophiliac good know suck chess mind dimensional chess think ahead let change twitter handle dumbaf ish facewithrollingeyes facewithrollingeyes facewithrollingeyes,OFF
48969,funny conservative like defect sure mind liberal defect integrity,NOT
23228,testy decide pay shill lot end hang qanon use,OFF
98137,want vote democrat want open border gun control,NOT
85415,blown temper tantrum manafort,NOT
78473,trump sick man toxic mean spirited,OFF
30890,voter know right gun issue gun control gun right answer help determine nra finance rep comstock win reelection,OFF
92935,behave ordinary disposable criminal,OFF
58208,watch care,NOT
86626,bunk,OFF
86331,wait conservative cry need safe space sudden liberal elite college,NOT
18702,hell boycott mcenroe,OFF
87470,respect constitution need drive office,NOT
27045,anti antifa ball,OFF
14408,I believe correct chico wise chihuahua redheart redheart redheart,NOT
78567,I m hardcore bitch,OFF
41887,I hope right,NOT
74595,xx,NOT
26033,self serve stand reject mrs de facto surrender begone insurgent hashtag,NOT
80107,I use signife monkey heart play wife like hell,OFF
76439,yeah I think addiction life long battle regardless relapse josh demon bay day,NOT
50971,word I m speak behalf I sit idly people ass I feel like people,NOT
84294,I think mad like try bully I grinningsquintingface,OFF
62487,cute,NOT
53037,disgusting ranger fan disgusting I support break union,OFF
81018,year ago change gun control discuss nra nra gun control america powerful lobby group,NOT
10605,hopefully voter realise end shitshow midterm,OFF
54335,booom mac tell pay public sector properly magic money tree disaster mean crisis compete sector,NOT
81644,absolutely right smdh,NOT
62586,I think number lie,NOT
70286,pitiful reason economy soar office president trump rid pen phone regulation legacy shatter know speech democrats message smilingfacewithsunglasse vote republican november,NOT
85157,color facewithraisedeyebrow public safety concern gun control assault rifle facewithoutmouth,NOT
54395,rich og follower I fan follow I hardly tweet u honor,NOT
88302,fund raise dinner party oligarchs story rip old soviet union piece personal gain light bulb moment lucrative endeavor,NOT
14590,antifa type sort like mini donybrooke smilingfacewithsunglasse,NOT
93419,chart overall fuck cardi way catch niki,OFF
93280,I think I miss reply I m conference anti jihadi muslim vet I know disagree gun control odd,OFF
97831,look racist white liberal freak I tom arnold white privileged,OFF
82366,hubby rush I shake fist flick pic evening I feed em way boss,OFF
13936,reinforce fact gutter,NOT
70315,omg liberal ruin,OFF
17909,lie lie antifa democrats way,NOT
68350,lump small l liberal conservative far right nutbag,NOT
83457,wow think I left actually admit want shut free speech admit facist create facist group antifa kkk,OFF
14877,rip lmao know facewithtearsofjoy I try hard expose shit relate,OFF
63762,bullshit,OFF
34479,non citizen look free ride american taxpayer liberal look vote like pyramid need bring new people support,NOT
25407,bono dark globalism,NOT
78739,I feel pretty fuck cuz I start fine,OFF
19932,commandment,NOT
67666,definitely previous administration I believe sane people vote head wallet closet republican chip ignore msm,NOT
67747,excellent idea intelligent relentless,NOT
33095,awful,OFF
50390,I know kkk I believe democrats fund like I think dem main terror group day antifa,OFF
59395,liberal mp leona alleslev decision cross floor amp join conservative betrayal supporter consult vote seemingly legal imagine decide cross floor amp liberal premier thinkingface facewithtearsofjoy,NOT
88168,modern conservative bright lot found father slave owner want end slavery principle far nuanced granular modern conservative principle shallow principle withstand test time,NOT
38444,absolutely useless know medium,OFF
74736,ohio sure jim renacci elect senate america let,NOT
77647,care dirtbag,OFF
30426,snowball chance hell dimwit dem start lose like man err like uhm identify today tired november stop,OFF
16113,ask liberal use reason logic look people suffer collective psychosis yr crazier hour educate elite batsht crazy sheep foot soldier likely certifiable help,NOT
67932,guess know like watch personshrugge femalesign figure great night brett,NOT
17278,hope serve beacon liberal feel way I hope moral conscience,NOT
63382,I hope voter uk forget shamble lack leadership leave doldrum betray vote leave rest uk,NOT
38806,hopefully obesity catch,OFF
77228,I think high portion sidewalk purpleheart,NOT
18714,conservative afraid weed think love black people,NOT
37482,shhhh proud u,NOT
73203,care,NOT
66497,stone wheat cracker hell stone wheat cracker,OFF
18028,remember ok ok,NOT
95987,mean great power come great responsibility invoke art override judicial process override democracy,OFF
65587,common sense gun control indicate looney leftist possession firearm safety,NOT
82711,I think I worship aesir lot people like use vanir argument example modern liberal race mix instance theologically recognize different tribe,NOT
36795,thank fortitude perseverance mcconnell kick butt conservative,OFF
93396,year old tweet account I control reference previous time slot refer bloomberg gun control michael bloomberg,NOT
88956,exactly anna,NOT
63418,hi I energize idiot I believe surface,NOT
87311,disgrace,NOT
21223,yessssshhhhh shitgull I ryme kissingfacewithclosedeye,OFF
81763,I want clear I think gun control answer people look far gun violence concern I find people focus mental health bully school want address root problem,NOT
56361,active instagram lately drop album year,NOT
98780,realize good word bad pc crowd toned,NOT
25469,kooky liberal,OFF
74815,like fire espn,OFF
48283,I understand racist tho,NOT
20855,real problem,NOT
67895,student traumatise live shooter drill distract fear kill school good send kid school action gun control hypocrite,OFF
99912,poor sad liberal hope,OFF
69106,I common sense follower,OFF
47490,cbs sez ceo leslie moonve ass allegation chase ass coo joseph iannello interim ceo somebody accuse thing shit end ooop,OFF
53550,sorry b article I read,NOT
36268,absolutely insane think hearing supreme court judge appropriate place mourning father talk gun control enact law uphold demand state senator shake hand,NOT
97751,attention publicize antifa target list comprise trump supporter high profile random everyday trump supporter twitter suspend account check list,NOT
77519,devil single priest rape child pope refuse condemn remove leadership rapist bring,OFF
79254,I like tweet maybe focused consolidate send I miss leave open new liberal fascist movement antifa,NOT
20232,I tweet lol I needa twitter shit,OFF
85623,hate,NOT
81520,hypocrisy movement expose hate trump thumb vile policy anti abortion scotus pick liberal claim ally boggle mind,NOT
73901,yes,NOT
11692,ok I m ready,NOT
47007,dong,NOT
32990,ur screw trump scotus exact wrath enemy midterm,OFF
25217,care gold digging possibly illegal recording,NOT
82335,mean antifa,NOT
